gene_symbol	ensembl_gene_id	ensembl_transcript_id	ensembl_protein_id	refseq_transcript_id	refseq_gene_id	refseq_protein_id
ABHD17B	ENSG00000107362.16	ENST00000333421.7	ENSP00000330222.6	NM_001025780.3	51104	NP_001020951.1
ABHD17C	ENSG00000136379.14	ENST00000258884.5	ENSP00000258884.4	NM_021214.2	58489	NP_067037.1
ABHD18	ENSG00000164074.19	ENST00000645843.2	ENSP00000496010.1	NM_001358451.3	80167	NP_001345380.1
ABHD2	ENSG00000140526.20	ENST00000352732.10	ENSP00000268129.5	NM_152924.5	11057	NP_690888.1
ABHD3	ENSG00000158201.12	ENST00000289119.7	ENSP00000289119.2	NM_138340.5	171586	NP_612213.2
ABHD4	ENSG00000100439.13	ENST00000428304.7	ENSP00000414558.2	NM_022060.3	63874	NP_071343.2
ABHD5	ENSG00000011198.12	ENST00000644371.2	ENSP00000495778.1	NM_016006.6	51099	NP_057090.2
ABHD6	ENSG00000163686.17	ENST00000478253.6	ENSP00000420315.1	NM_001320126.2	57406	NP_001307055.1
ABHD8	ENSG00000127220.8	ENST00000247706.4	ENSP00000247706.2	NM_024527.5	79575	NP_078803.4
ABI1	ENSG00000136754.20	ENST00000376140.4	ENSP00000365310.3	NM_001012750.3	10006	NP_001012768.1
ABI2	ENSG00000138443.19	ENST00000261018.12	ENSP00000261018.9	NM_001375670.1	10152	NP_001362599.1
ABI3	ENSG00000108798.11	ENST00000225941.6	ENSP00000225941.1	NM_016428.3	51225	NP_057512.2
ABI3BP	ENSG00000154175.21	ENST00000471714.6	ENSP00000420524.2	NM_001375547.2	25890	NP_001362476.1
ABITRAM	ENSG00000119328.14	ENST00000322940.11	ENSP00000363753.3	NM_017832.4	54942	NP_060302.1
ABL1	ENSG00000097007.22	ENST00000318560.6	ENSP00000323315.5	NM_005157.6	25	NP_005148.2
ABL2	ENSG00000143322.22	ENST00000502732.6	ENSP00000427562.1	NM_007314.4	27	NP_009298.1
ABLIM1	ENSG00000099204.24	ENST00000533213.7	ENSP00000433629.3	NM_002313.7	3983	NP_002304.3
ABLIM2	ENSG00000163995.23	ENST00000447017.7	ENSP00000393511.2	NM_001130083.2	84448	NP_001123555.1
ABLIM3	ENSG00000173210.22	ENST00000309868.12	ENSP00000310309.7	NM_014945.5	22885	NP_055760.1
ABO	ENSG00000281879.6	ENST00000644422.3	ENSP00000494079.1	NM_020469.4	28	NP_065202.3
ABR	ENSG00000159842.18	ENST00000302538.10	ENSP00000303909.5	NM_021962.5	29	NP_068781.2
ABRA	ENSG00000174429.6	ENST00000311955.4	ENSP00000311436.3	NM_139166.5	137735	NP_631905.1
ABRACL	ENSG00000146386.10	ENST00000367660.4	ENSP00000356632.3	NM_021243.3	58527	NP_067066.1
ABRAXAS1	ENSG00000163322.16	ENST00000321945.12	ENSP00000369857.3	NM_139076.3	84142	NP_620775.2
ABRAXAS2	ENSG00000165660.10	ENST00000298492.6	ENSP00000298492.5	NM_032182.4	23172	NP_115558.3
ABT1	ENSG00000146109.7	ENST00000274849.3	ENSP00000274849.1	NM_013375.4	29777	NP_037507.1
ABTB1	ENSG00000114626.20	ENST00000232744.13	ENSP00000232744.8	NM_172027.3	80325	NP_742024.1
ABTB2	ENSG00000166016.8	ENST00000435224.3	ENSP00000410157.2	NM_145804.3	25841	NP_665803.2
ABTB3	ENSG00000151136.15	ENST00000280758.10	ENSP00000280758.5	NM_001018072.2	121551	NP_001018082.1
AC001226.8	ENSG00000288716.1	ENST00000684204.1	ENSP00000507017.1	NM_001414702.1	127898562	NP_001401631.1
AC092442.3	ENSG00000284684.1	ENST00000636216.1	ENSP00000490314.1	NM_001415001.1	128125818	NP_001401930.1
ACAA1	ENSG00000060971.21	ENST00000333167.13	ENSP00000333664.8	NM_001607.4	30	NP_001598.1
ACAA2	ENSG00000167315.20	ENST00000285093.15	ENSP00000285093.8	NM_006111.3	10449	NP_006102.2
ACACA	ENSG00000278540.6	ENST00000616317.5	ENSP00000483300.1	NM_198834.3	31	NP_942131.1
ACACB	ENSG00000076555.17	ENST00000338432.12	ENSP00000341044.7	NM_001093.4	32	NP_001084.3
ACAD10	ENSG00000111271.17	ENST00000313698.9	ENSP00000325137.5	NM_025247.6	80724	NP_079523.3
ACAD11	ENSG00000240303.10	ENST00000264990.11	ENSP00000264990.6	NM_032169.5	84129	NP_115545.3
ACAD8	ENSG00000151498.14	ENST00000281182.9	ENSP00000281182.5	NM_014384.3	27034	NP_055199.1
ACAD9	ENSG00000177646.22	ENST00000308982.12	ENSP00000312618.7	NM_014049.5	28976	NP_054768.2
ACADL	ENSG00000115361.10	ENST00000233710.4	ENSP00000233710.3	NM_001608.4	33	NP_001599.1
ACADM	ENSG00000117054.17	ENST00000370841.9	ENSP00000359878.5	NM_000016.6	34	NP_000007.1
ACADS	ENSG00000122971.11	ENST00000242592.9	ENSP00000242592.4	NM_000017.4	35	NP_000008.1
ACADSB	ENSG00000196177.15	ENST00000358776.7	ENSP00000357873.3	NM_001609.4	36	NP_001600.1
ACADVL	ENSG00000072778.22	ENST00000356839.10	ENSP00000349297.5	NM_000018.4	37	NP_000009.1
ACAN	ENSG00000157766.20	ENST00000560601.4	ENSP00000453581.2	NM_001369268.1	176	NP_001356197.1
ACAP1	ENSG00000072818.14	ENST00000158762.8	ENSP00000158762.3	NM_014716.4	9744	NP_055531.1
ACAP2	ENSG00000114331.18	ENST00000326793.11	ENSP00000324287.6	NM_012287.6	23527	NP_036419.3
ACAP3	ENSG00000131584.21	ENST00000354700.10	ENSP00000346733.5	NM_030649.3	116983	NP_085152.2
ACAT1	ENSG00000075239.17	ENST00000265838.9	ENSP00000265838.4	NM_000019.4	38	NP_000010.1
ACAT2	ENSG00000120437.11	ENST00000367048.5	ENSP00000356015.4	NM_005891.3	39	NP_005882.2
ACBD3	ENSG00000182827.11	ENST00000366812.6	ENSP00000355777.5	NM_022735.4	64746	NP_073572.2
ACBD4	ENSG00000181513.17	ENST00000321854.13	ENSP00000314440.8	NM_001135705.3	79777	NP_001129177.1
ACBD5	ENSG00000107897.22	ENST00000396271.8	ENSP00000379568.3	NM_145698.5	91452	NP_663736.2
ACBD6	ENSG00000230124.10	ENST00000367595.4	ENSP00000356567.3	NM_032360.4	84320	NP_115736.1
ACBD7	ENSG00000176244.8	ENST00000356189.6	ENSP00000367453.4	NM_001039844.3	414149	NP_001034933.1
ACCS	ENSG00000110455.16	ENST00000263776.9	ENSP00000263776.8	NM_032592.4	84680	NP_115981.1
ACCSL	ENSG00000205126.2	ENST00000378832.1	ENSP00000368109.1	NM_001031854.2	390110	NP_001027025.2
ACD	ENSG00000102977.20	ENST00000620761.6	ENSP00000478084.1	NM_001082486.2	65057	NP_001075955.2
ACE	ENSG00000159640.19	ENST00000290866.10	ENSP00000290866.4	NM_000789.4	1636	NP_000780.1
ACE2	ENSG00000130234.15	ENST00000252519.8	ENSP00000252519.3	NM_001371415.1	59272	NP_001358344.1
ACER1	ENSG00000167769.6	ENST00000301452.5	ENSP00000301452.3	NM_133492.3	125981	NP_597999.1
ACER2	ENSG00000177076.7	ENST00000340967.3	ENSP00000342609.2	NM_001010887.3	340485	NP_001010887.2
ACER3	ENSG00000078124.15	ENST00000532485.6	ENSP00000434480.1	NM_018367.7	55331	NP_060837.3
ACHE	ENSG00000087085.18	ENST00000241069.11	ENSP00000241069.5	NM_000665.5	43	NP_000656.1
ACIN1	ENSG00000100813.17	ENST00000605057.6	ENSP00000474349.1	NM_001386863.1	22985	NP_001373792.1
ACKR1	ENSG00000213088.15	ENST00000368122.4	ENSP00000357104.1	NM_002036.4	2532	NP_002027.2
ACKR2	ENSG00000144648.18	ENST00000422265.6	ENSP00000416996.1	NM_001296.5	1238	NP_001287.2
ACKR3	ENSG00000144476.8	ENST00000272928.4	ENSP00000272928.3	NM_020311.3	57007	NP_064707.1
ACKR4	ENSG00000129048.9	ENST00000249887.3	ENSP00000249887.2	NM_016557.4	51554	NP_057641.1
ACKR5	ENSG00000166856.5	ENST00000300098.3	ENSP00000300098.1	NM_007264.4	11318	NP_009195.1
ACLY	ENSG00000131473.19	ENST00000352035.7	ENSP00000253792.2	NM_001096.3	47	NP_001087.2
ACMSD	ENSG00000153086.16	ENST00000356140.10	ENSP00000348459.5	NM_138326.3	130013	NP_612199.2
ACO1	ENSG00000122729.21	ENST00000309951.8	ENSP00000309477.5	NM_002197.3	48	NP_002188.1
ACO2	ENSG00000100412.19	ENST00000216254.9	ENSP00000216254.4	NM_001098.3	50	NP_001089.1
ACOD1	ENSG00000102794.11	ENST00000377462.6	ENSP00000366682.1	NM_001258406.2	730249	NP_001245335.1
ACOT1	ENSG00000184227.9	ENST00000311148.9	ENSP00000311224.4	NM_001037161.2	641371	NP_001032238.1
ACOT11	ENSG00000162390.20	ENST00000343744.7	ENSP00000340260.2	NM_147161.4	26027	NP_671517.1
ACOT12	ENSG00000172497.11	ENST00000307624.8	ENSP00000303246.3	NM_130767.3	134526	NP_570123.1
ACOT13	ENSG00000112304.13	ENST00000230048.5	ENSP00000230048.3	NM_018473.4	55856	NP_060943.1
ACOT2	ENSG00000119673.18	ENST00000238651.10	ENSP00000238651.5	NM_006821.6	10965	NP_006812.3
ACOT4	ENSG00000177465.6	ENST00000326303.5	ENSP00000323071.4	NM_152331.4	122970	NP_689544.3
ACOT6	ENSG00000205669.4	ENST00000645972.2	ENSP00000496277.1	NM_001365788.1	641372	NP_001352717.1
ACOT7	ENSG00000097021.23	ENST00000361521.9	ENSP00000354615.4	NM_007274.4	11332	NP_009205.3
ACOT8	ENSG00000101473.19	ENST00000217455.9	ENSP00000217455.4	NM_005469.4	10005	NP_005460.2
ACOT9	ENSG00000123130.19	ENST00000379303.10	ENSP00000368605.5	NM_001037171.2	23597	NP_001032248.1
ACOX1	ENSG00000161533.14	ENST00000293217.10	ENSP00000293217.4	NM_004035.7	51	NP_004026.2
ACOX2	ENSG00000168306.15	ENST00000302819.10	ENSP00000307697.5	NM_003500.4	8309	NP_003491.1
ACOX3	ENSG00000087008.18	ENST00000356406.10	ENSP00000348775.4	NM_003501.3	8310	NP_003492.2
ACOXL	ENSG00000153093.23	ENST00000439055.6	ENSP00000407761.1	NM_001142807.4	55289	NP_001136279.1
ACP1	ENSG00000143727.18	ENST00000272065.10	ENSP00000272065.5	NM_004300.4	52	NP_004291.1
ACP2	ENSG00000134575.15	ENST00000672073.1	ENSP00000500291.1	NM_001610.4	53	NP_001601.1
ACP3	ENSG00000014257.18	ENST00000336375.10	ENSP00000337471.5	NM_001099.5	55	NP_001090.2
ACP4	ENSG00000142513.6	ENST00000270593.2	ENSP00000270593.1	NM_033068.3	93650	NP_149059.1
ACP5	ENSG00000102575.16	ENST00000648477.1	ENSP00000496973.1	NM_001611.5	54	NP_001602.1
ACP6	ENSG00000162836.14	ENST00000583509.7	ENSP00000463574.1	NM_016361.5	51205	NP_057445.4
ACP7	ENSG00000183760.13	ENST00000331256.10	ENSP00000327557.4	NM_001004318.3	390928	NP_001004318.2
ACR	ENSG00000100312.12	ENST00000216139.10	ENSP00000216139.5	NM_001097.3	49	NP_001088.2
ACRBP	ENSG00000111644.9	ENST00000229243.7	ENSP00000229243.2	NM_032489.3	84519	NP_115878.2
ACRV1	ENSG00000134940.15	ENST00000533904.6	ENSP00000432816.1	NM_001612.6	56	NP_001603.1
ACSBG1	ENSG00000103740.11	ENST00000258873.9	ENSP00000258873.4	NM_015162.5	23205	NP_055977.3
ACSBG2	ENSG00000130377.15	ENST00000588485.6	ENSP00000466336.2	NM_030924.5	81616	NP_112186.3
ACSF2	ENSG00000167107.15	ENST00000300441.9	ENSP00000300441.4	NM_025149.6	80221	NP_079425.3
ACSF3	ENSG00000176715.19	ENST00000614302.5	ENSP00000479130.1	NM_001243279.3	197322	NP_001230208.1
ACSL1	ENSG00000151726.18	ENST00000281455.7	ENSP00000281455.2	NM_001995.5	2180	NP_001986.2
ACSL3	ENSG00000123983.17	ENST00000357430.8	ENSP00000350012.3	NM_004457.5	2181	NP_004448.2
ACSL4	ENSG00000068366.23	ENST00000672401.1	ENSP00000500273.1	NM_001318510.2	2182	NP_001305439.1
ACSL5	ENSG00000197142.13	ENST00000354655.9	ENSP00000346680.4	NM_203379.2	51703	NP_976313.1
ACSL6	ENSG00000164398.17	ENST00000651883.2	ENSP00000499063.2	NM_001009185.3	23305	NP_001009185.1
ACSM1	ENSG00000166743.12	ENST00000520010.6	ENSP00000428047.1	NM_001318890.3	116285	NP_001305819.1
ACSM2A	ENSG00000183747.14	ENST00000573854.6	ENSP00000459451.1	NM_001308172.2	123876	NP_001295101.1
ACSM2B	ENSG00000066813.16	ENST00000329697.10	ENSP00000327453.6	NM_001105069.2	348158	NP_001098539.1
ACSM3	ENSG00000005187.14	ENST00000289416.10	ENSP00000289416.5	NM_005622.4	6296	NP_005613.2
ACSM4	ENSG00000215009.6	ENST00000399422.5	ENSP00000382349.4	NM_001080454.2	341392	NP_001073923.1
ACSM5	ENSG00000183549.12	ENST00000331849.8	ENSP00000327916.4	NM_017888.3	54988	NP_060358.2
ACSM6	ENSG00000173124.15	ENST00000394005.4	ENSP00000377573.3	NM_207321.3	142827	NP_997204.2
ACSS1	ENSG00000154930.17	ENST00000323482.9	ENSP00000316924.4	NM_032501.4	84532	NP_115890.2
ACSS2	ENSG00000131069.22	ENST00000360596.7	ENSP00000353804.2	NM_018677.4	55902	NP_061147.1
ACSS3	ENSG00000111058.10	ENST00000548058.6	ENSP00000449535.1	NM_024560.4	79611	NP_078836.1
ACTA1	ENSG00000143632.17	ENST00000366684.7	ENSP00000355645.3	NM_001100.4	58	NP_001091.1
ACTA2	ENSG00000107796.16	ENST00000224784.10	ENSP00000224784.6	NM_001613.4	59	NP_001604.1
ACTB	ENSG00000075624.19	ENST00000646664.1	ENSP00000494750.1	NM_001101.5	60	NP_001092.1
ACTBL2	ENSG00000169067.4	ENST00000423391.3	ENSP00000416706.1	NM_001017992.4	345651	NP_001017992.1
ACTC1	ENSG00000159251.12	ENST00000290378.6	ENSP00000290378.4	NM_005159.5	70	NP_005150.1
ACTG1	ENSG00000184009.15	ENST00000573283.7	ENSP00000458435.1	NM_001614.5	71	NP_001605.1
ACTG2	ENSG00000163017.16	ENST00000345517.8	ENSP00000295137.3	NM_001615.4	72	NP_001606.1
ACTL10	ENSG00000288649.2	ENST00000677665.1	ENSP00000504425.1	NM_001024675.2	170487	NP_001019846.1
ACTL6A	ENSG00000136518.19	ENST00000429709.7	ENSP00000397552.2	NM_004301.5	86	NP_004292.1
ACTL6B	ENSG00000077080.12	ENST00000160382.10	ENSP00000160382.5	NM_016188.5	51412	NP_057272.1
ACTL7A	ENSG00000187003.7	ENST00000333999.5	ENSP00000334300.3	NM_006687.4	10881	NP_006678.1
ACTL7B	ENSG00000148156.8	ENST00000374667.5	ENSP00000363799.3	NM_006686.4	10880	NP_006677.1
ACTL8	ENSG00000117148.10	ENST00000375406.2	ENSP00000364555.1	NM_030812.3	81569	NP_110439.2
ACTL9	ENSG00000181786.6	ENST00000324436.5	ENSP00000316674.3	NM_178525.5	284382	NP_848620.3
ACTMAP	ENSG00000188493.17	ENST00000378313.7	ENSP00000367564.2	NM_198476.5	284325	NP_940878.3
ACTN1	ENSG00000072110.19	ENST00000394419.9	ENSP00000377941.4	NM_001130004.2	87	NP_001123476.1
ACTN2	ENSG00000077522.17	ENST00000366578.6	ENSP00000355537.4	NM_001103.4	88	NP_001094.1
ACTN3	ENSG00000248746.8	ENST00000513398.2	ENSP00000426797.1	NM_001104.4	89	NP_001095.2
ACTN4	ENSG00000130402.16	ENST00000252699.7	ENSP00000252699.2	NM_004924.6	81	NP_004915.2
ACTR10	ENSG00000131966.16	ENST00000254286.9	ENSP00000254286.4	NM_018477.3	55860	NP_060947.1
ACTR1A	ENSG00000138107.15	ENST00000369905.9	ENSP00000358921.4	NM_005736.4	10121	NP_005727.1
ACTR1B	ENSG00000115073.10	ENST00000289228.7	ENSP00000289228.5	NM_005735.4	10120	NP_005726.1
ACTR2	ENSG00000138071.17	ENST00000260641.10	ENSP00000260641.5	NM_005722.4	10097	NP_005713.1
ACTR3	ENSG00000115091.14	ENST00000263238.7	ENSP00000263238.2	NM_005721.5	10096	NP_005712.1
ACTR3B	ENSG00000133627.20	ENST00000256001.13	ENSP00000256001.8	NM_020445.6	57180	NP_065178.1
ACTR3C	ENSG00000106526.14	ENST00000683684.1	ENSP00000507618.1	NM_001164458.2	653857	NP_001157930.1
ACTR5	ENSG00000101442.12	ENST00000243903.6	ENSP00000243903.4	NM_024855.4	79913	NP_079131.3
ACTR6	ENSG00000075089.12	ENST00000188312.7	ENSP00000188312.2	NM_022496.5	64431	NP_071941.1
ACTR8	ENSG00000113812.16	ENST00000335754.8	ENSP00000336842.3	NM_022899.5	93973	NP_075050.3
ACTRT1	ENSG00000123165.9	ENST00000371124.5	ENSP00000360165.3	NM_138289.4	139741	NP_612146.1
ACTRT2	ENSG00000169717.7	ENST00000378404.4	ENSP00000367658.2	NM_080431.5	140625	NP_536356.3
ACTRT3	ENSG00000184378.5	ENST00000330368.3	ENSP00000333037.1	NM_032487.5	84517	NP_115876.3
ACVR1	ENSG00000115170.18	ENST00000434821.7	ENSP00000405004.1	NM_001111067.4	90	NP_001104537.1
ACVR1B	ENSG00000135503.15	ENST00000257963.9	ENSP00000257963.4	NM_004302.5	91	NP_004293.1
ACVR1C	ENSG00000123612.18	ENST00000243349.13	ENSP00000243349.7	NM_145259.3	130399	NP_660302.2
ACVR2A	ENSG00000121989.17	ENST00000241416.12	ENSP00000241416.7	NM_001616.5	92	NP_001607.1
