gene_id	gene_name	gene_type	n_isoforms	n_pairs	n_share_3p	n_share_5p	rate_3p	rate_5p	delta_3p_vs_5p
ENSG00000304874	ENSG00000304874	lncRNA	4	6	6	0	1.0	0.0	1.0
ENSG00000304363	ENSG00000304363	lncRNA	5	10	10	0	1.0	0.0	1.0
ENSG00000203785	SPRR2E	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000132688	NES	protein_coding	2	1	1	1	1.0	1.0	0.0
ENSG00000197532	OR6Y1	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000232188	ENSG00000232188	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000248485	PCP4L1	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000308282	ENSG00000308282	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000297093	ENSG00000297093	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000225826	LINC00626	lncRNA	6	15	15	0	1.0	0.0	1.0
ENSG00000305649	ENSG00000305649	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000302295	ENSG00000302295	lncRNA	4	6	6	0	1.0	0.0	1.0
ENSG00000301049	ENSG00000301049	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000298690	ENSG00000298690	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000143333	RGS16	protein_coding	3	3	3	0	1.0	0.0	1.0
ENSG00000287808	DHX9-AS1	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000296822	ENSG00000296822	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000260088	DDX59-AS1	lncRNA	5	10	10	0	1.0	0.0	1.0
ENSG00000306579	ENSG00000306579	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000306556	ENSG00000306556	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000305518	ENSG00000305518	lncRNA	4	6	6	0	1.0	0.0	1.0
ENSG00000299375	ENSG00000299375	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000180667	YOD1	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000304736	ENSG00000304736	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000306569	ENSG00000306569	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000293922	ENSG00000293922	lncRNA	4	6	6	0	1.0	0.0	1.0
ENSG00000237101	ENSG00000237101	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000143751	SDE2	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000183780	SLC35F3	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000310502	ENSG00000310502	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000306684	ENSG00000306684	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000306066	ENSG00000306066	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000169214	OR6F1	protein_coding_CDS_not_defined	5	10	10	0	1.0	0.0	1.0
ENSG00000228336	OR9H1	protein_coding_LoF	2	1	1	0	1.0	0.0	1.0
ENSG00000198128	OR2L3	protein_coding	3	3	3	0	1.0	0.0	1.0
ENSG00000198601	OR2M2	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000227152	OR2T7	protein_coding_LoF	2	1	1	0	1.0	0.0	1.0
ENSG00000196240	OR2T2	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000188558	OR2G6	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000187701	OR2T27	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000300940	ENSG00000300940	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000297956	ENSG00000297956	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000302210	ENSG00000302210	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000298044	ENSG00000298044	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000296979	ENSG00000296979	lncRNA	4	6	6	0	1.0	0.0	1.0
ENSG00000226041	ENSG00000226041	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000302100	ENSG00000302100	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000303551	ENSG00000303551	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000307528	ENSG00000307528	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000306460	ENSG00000306460	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000304671	ENSG00000304671	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000271894	ENSG00000271894	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000305136	ENSG00000305136	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000305846	ENSG00000305846	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000294870	ENSG00000294870	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000306831	ENSG00000306831	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000302514	ENSG00000302514	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000310233	ENSG00000310233	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000198914	POU3F3	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000294676	ENSG00000294676	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000303632	ENSG00000303632	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000301401	ENSG00000301401	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000115008	IL1A	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000125571	IL37	protein_coding	6	15	15	0	1.0	0.0	1.0
ENSG00000144119	C1QL2	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000309410	ENSG00000309410	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000306208	ENSG00000306208	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000290618	CDRT15P3	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000248672	LY75-CD302	protein_coding	2	1	1	1	1.0	1.0	0.0
ENSG00000295762	ENSG00000295762	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000294225	ENSG00000294225	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000296020	ENSG00000296020	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000128713	HOXD11	protein_coding_CDS_not_defined	2	1	1	0	1.0	0.0	1.0
ENSG00000294180	ENSG00000294180	lncRNA	4	6	6	0	1.0	0.0	1.0
ENSG00000272800	ENSG00000272800	lncRNA	4	6	6	0	1.0	0.0	1.0
ENSG00000286879	ENSG00000286879	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000300493	ENSG00000300493	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000305317	ENSG00000305317	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000296454	ENSG00000296454	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000307662	ENSG00000307662	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000283428	CCDC195	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000296115	ENSG00000296115	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000188042	ARL4C	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000299448	ENSG00000299448	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000299496	ENSG00000299496	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000301616	ENSG00000301616	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000298366	ENSG00000298366	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000304637	ENSG00000304637	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000178602	OTOS	protein_coding	3	3	3	0	1.0	0.0	1.0
ENSG00000219159	ENSG00000219159	lncRNA	4	6	6	0	1.0	0.0	1.0
ENSG00000254999	BRK1	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000294861	ENSG00000294861	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000307656	ENSG00000307656	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000301836	ENSG00000301836	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000307676	ENSG00000307676	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000163825	RTP3	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000290318	ENSG00000290318	protein_coding_CDS_not_defined	3	3	3	0	1.0	0.0	1.0
ENSG00000173389	IQCF1	nonsense_mediated_decay	2	1	1	0	1.0	0.0	1.0
ENSG00000307779	ENSG00000307779	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000302092	ENSG00000302092	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000291222	ENSG00000291222	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000295611	ENSG00000295611	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000309807	ENSG00000309807	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000309375	ENSG00000309375	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000307157	ENSG00000307157	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000308417	ENSG00000308417	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000239314	MORC1-AS1	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000177494	ZBED2	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000186103	ARGFX	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000296418	ENSG00000296418	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000302344	ENSG00000302344	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000184897	H1-10	protein_coding	2	1	1	1	1.0	1.0	0.0
ENSG00000178804	H1-8	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000170893	TRH	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000306539	ENSG00000306539	lncRNA	3	3	3	1	1.0	0.333333	0.666667
ENSG00000296394	ENSG00000296394	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000308296	ENSG00000308296	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000138271	GPR87	retained_intron	2	1	1	0	1.0	0.0	1.0
ENSG00000197953	AADACL2	nonsense_mediated_decay	2	1	1	0	1.0	0.0	1.0
ENSG00000308851	ENSG00000308851	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000293182	ENSG00000293182	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000188729	OSTN	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000178732	GP5	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000298459	ENSG00000298459	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000287164	ENSG00000287164	lncRNA	4	6	6	0	1.0	0.0	1.0
ENSG00000303533	ENSG00000303533	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000293931	ENSG00000293931	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000272626	ENSG00000272626	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000135226	UGT2B28	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000304732	ENSG00000304732	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000296542	ENSG00000296542	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000304315	ENSG00000304315	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000248676	ENSG00000248676	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000303547	ENSG00000303547	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000296308	ENSG00000296308	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000309775	ENSG00000309775	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000295738	ENSG00000295738	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000290017	ENSG00000290017	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000288728	ENSG00000288728	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000306915	ENSG00000306915	lncRNA	4	6	6	0	1.0	0.0	1.0
ENSG00000205097	FRG2	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000288930	ENSG00000288930	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000302790	ENSG00000302790	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000248597	ENSG00000248597	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000298239	ENSG00000298239	lncRNA	4	6	6	0	1.0	0.0	1.0
ENSG00000293571	ENSG00000293571	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000304666	ENSG00000304666	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000296226	ENSG00000296226	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000285552	ENSG00000285552	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000152669	CCNO	nonsense_mediated_decay	2	1	1	0	1.0	0.0	1.0
ENSG00000248475	ENSG00000248475	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000247345	PDE4D-AS1	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000303946	ENSG00000303946	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000296805	ENSG00000296805	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000250348	SV2C-AS2	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000308603	ENSG00000308603	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000302849	ENSG00000302849	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000305270	ENSG00000305270	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000301721	ENSG00000301721	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000283782	ENSG00000283782	protein_coding	5	10	10	0	1.0	0.0	1.0
ENSG00000298397	ENSG00000298397	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000177733	HNRNPA0	protein_coding	2	1	1	1	1.0	1.0	0.0
ENSG00000254996	ANKHD1-EIF4EBP3	protein_coding	3	3	3	0	1.0	0.0	1.0
ENSG00000279558	ENSG00000279558	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000228737	ENSG00000228737	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000183775	KCTD16	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000091010	POU4F3	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000303969	ENSG00000303969	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000169258	GPRIN1	protein_coding	3	3	3	0	1.0	0.0	1.0
ENSG00000185372	OR2V1	protein_coding	4	6	6	3	1.0	0.5	0.5
ENSG00000182613	OR2V2	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000300108	ENSG00000300108	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000288612	ENSG00000288612	lncRNA	2	1	1	1	1.0	1.0	0.0
ENSG00000299246	ENSG00000299246	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000297344	ENSG00000297344	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000287483	ENSG00000287483	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000112242	E2F3	protein_coding	3	3	3	0	1.0	0.0	1.0
ENSG00000303866	ENSG00000303866	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000306067	ENSG00000306067	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000204694	OR11A1	protein_coding	3	3	3	0	1.0	0.0	1.0
ENSG00000206474	OR10C1	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000204619	PPP1R11	protein_coding	6	15	15	0	1.0	0.0	1.0
ENSG00000137331	IER3	protein_coding	3	3	3	0	1.0	0.0	1.0
ENSG00000226979	LTA	protein_coding	5	10	10	0	1.0	0.0	1.0
ENSG00000204421	LY6G6C	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000303658	ENSG00000303658	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000286105	TMEM217B	protein_coding	3	3	3	0	1.0	0.0	1.0
ENSG00000296619	ENSG00000296619	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000298081	ENSG00000298081	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000287363	CIMIP3	protein_coding_CDS_not_defined	3	3	3	0	1.0	0.0	1.0
ENSG00000293908	ENSG00000293908	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000271857	ENSG00000271857	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000112116	IL17F	retained_intron	3	3	3	0	1.0	0.0	1.0
ENSG00000296750	ENSG00000296750	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000307717	ENSG00000307717	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000287818	ENSG00000287818	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000301532	ENSG00000301532	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000135547	HEY2	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000303580	ENSG00000303580	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000234263	MAP3K5-AS1	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000225391	NHEG1	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000235740	PHACTR2-AS1	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000294652	ENSG00000294652	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000131015	ULBP2	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000304281	ENSG00000304281	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000306246	ENSG00000306246	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000310511	ENSG00000310511	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000295733	ENSG00000295733	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000237286	CARD11-AS1	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000272968	RBAK-RBAKDN	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000290673	ENSG00000290673	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000297180	ENSG00000297180	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000293629	ENSG00000293629	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000293630	ENSG00000293630	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000305845	ENSG00000305845	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000230831	ENSG00000230831	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000309153	ENSG00000309153	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000300758	ENSG00000300758	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000285536	LINC02838	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000175877	TMEM270	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000289027	ENSG00000289027	retained_intron	2	1	1	0	1.0	0.0	1.0
ENSG00000308570	ENSG00000308570	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000289690	ENSG00000289690	protein_coding	3	3	3	0	1.0	0.0	1.0
ENSG00000176125	UFSP1	protein_coding	2	1	1	1	1.0	1.0	0.0
ENSG00000205238	SPDYE2	protein_coding	3	3	3	0	1.0	0.0	1.0
ENSG00000305508	ENSG00000305508	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000308663	ENSG00000308663	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000294385	ENSG00000294385	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000165120	SSMEM1	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000272701	MESTIT1	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000298133	ENSG00000298133	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000260231	KDM7A-DT	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000307329	ENSG00000307329	lncRNA	4	6	6	1	1.0	0.166667	0.833333
ENSG00000306659	ENSG00000306659	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000290007	ENSG00000290007	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000289248	ENSG00000289248	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000309308	ENSG00000309308	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000297332	ENSG00000297332	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000285657	FAM90A19	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000275342	PRAG1	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000255020	TDH-AS1	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000205882	DEFB134	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000254054	FGL1-AS1	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000133874	RNF122	protein_coding	3	3	3	0	1.0	0.0	1.0
ENSG00000303754	ENSG00000303754	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000296897	ENSG00000296897	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000310150	ENSG00000310150	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000307883	ENSG00000307883	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000164938	TP53INP1	protein_coding	3	3	3	0	1.0	0.0	1.0
ENSG00000306590	ENSG00000306590	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000297565	ENSG00000297565	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000296434	ENSG00000296434	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000204882	GPR20	protein_coding	3	3	3	0	1.0	0.0	1.0
ENSG00000287325	ENSG00000287325	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000304485	ENSG00000304485	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000305015	ENSG00000305015	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000306944	ENSG00000306944	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000301961	ENSG00000301961	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000306748	ENSG00000306748	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000285911	ENSG00000285911	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000295192	ENSG00000295192	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000236921	ENSG00000236921	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000307610	ENSG00000307610	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000308740	ENSG00000308740	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000301183	ENSG00000301183	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000283329	FAM240B	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000302146	ENSG00000302146	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000303419	ENSG00000303419	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000297474	ENSG00000297474	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000307379	ENSG00000307379	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000177910	SPATA31C2	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000224945	ENSG00000224945	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000185963	BICD2	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000296403	ENSG00000296403	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000131668	BARX1	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000136929	HEMGN	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000302724	ENSG00000302724	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000230601	TEX48	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000239593	ENSG00000239593	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000280094	OR1B1	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000173679	OR1L1	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000171459	OR1L6	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000136944	LMX1B	protein_coding	3	3	3	3	1.0	1.0	0.0
ENSG00000302699	ENSG00000302699	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000167157	PRRX2	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000309344	ENSG00000309344	lncRNA	2	1	1	0	1.0	0.0	1.0
