cluster_id	cluster_size	n_genes	n_protein_coding	n_pseudogene	n_other	mixed_pc_pseudo	gene_names	window_bp
C118_d15782a868	35	1	16	0	19	0	IFT122	400
C119_a153c85059	35	6	28	0	7	0	MSH5	400
C120_7a65353a56	35	3	29	0	6	0	GTF2I;GTF2IP1;GTF2IP4	400
C121_03c13032dc	35	1	35	0	0	0	SFTPA2	400
C122_24c9dcf706	35	1	35	0	0	0	ADD3	400
C123_ed8878f312	35	1	2	0	33	0	ABCC8	400
C124_8de55df21c	35	1	0	0	35	0	LINC01198	400
C125_2da58970c1	35	2	35	0	0	0	CES1	400
C126_3e723dc2a4	35	1	32	0	3	0	GNAS	400
C127_caa66909fa	34	8	18	0	16	0	PPP1R18	400
C128_0b8a230080	34	6	29	0	5	0	LST1	400
C129_5db4398bbe	34	1	33	0	1	0	MICAL1	400
C130_5127c2756e	34	10	34	0	0	0	NLRP2	400
C131_50c6547e40	33	1	25	0	8	0	CLCC1	400
C132_0e15d3d2c2	33	1	32	0	1	0	DAP3	400
C133_e843b003b8	33	1	0	0	33	0	ENSG00000291176	400
C134_b1e45157d4	33	2	0	0	33	0	ENSG00000290823;ENSG00000310523	400
C135_3f2144698a	33	7	33	0	0	0	TRIM39	400
C136_565cfa6436	33	1	13	0	20	0	ATE1	400
C137_0c1622eab2	33	1	0	0	33	0	MIR100HG	400
C138_1eb1d3b65e	33	1	32	0	1	0	PPM1A	400
C139_aab2ef80b2	33	3	0	0	33	0	ENSG00000278903;ENSG00000280018;ENSG00000280145	400
C140_ddfb674960	33	1	32	0	1	0	RABL2B	400
C141_b8052d7e88	33	1	33	0	0	0	HEPH	400
C142_3a5ab8814c	32	1	32	0	0	0	ITIH4	400
C143_496382e083	32	1	32	0	0	0	ZBTB20	400
C144_53131261cf	32	1	26	0	6	0	G3BP2	400
C145_db3f4212f1	32	2	0	1	31	0	PDCD6P1;SDHAP3	400
C146_c5e1e279ef	32	1	0	0	32	0	CASC15	400
C147_6a5631928f	32	6	21	0	11	0	LST1	400
C148_26a573bf9f	32	1	0	0	32	0	FAM66A	400
C149_850bb9fee4	32	1	0	0	32	0	ENSG00000290549	400
C150_99165dd6e5	32	2	6	0	26	0	IARS1	400
C151_6d6f338a1a	32	1	14	0	18	0	HPS1	400
C152_9015f338ad	32	1	31	0	1	0	GPS1	400
C153_7a3019e68c	32	1	0	0	32	0	MIR663AHG	400
C154_10a3222bb3	32	1	31	0	1	0	ASCC2	400
C155_602a486660	32	21	22	10	0	1	DUX4L2;ENSG00000283767;ENSG00000283820;ENSG00000283830;ENSG00000283878;ENSG00000283884;ENSG00000283893;ENSG00000283898;ENSG00000283955;ENSG00000284002;ENSG00000284025;ENSG00000284066;ENSG00000284174;ENSG00000284181;ENSG00000284210;ENSG00000284262;ENSG00000284383;ENSG00000284475;ENSG00000284496;ENSG00000284502	400
C156_f9f5b1df26	31	1	0	0	31	0	WASH9P	400
C157_63effd9e39	31	1	14	0	17	0	SGIP1	400
C158_4a44ef4192	31	1	0	0	31	0	LINC01118	400
C159_23a3b039e3	31	1	0	0	31	0	ENSG00000303324	400
C160_2306443a0b	31	1	31	0	0	0	SEC31A	400
C161_50fdadedee	31	7	19	0	12	0	GABBR1	400
C162_c70d05b544	31	7	31	0	0	0	CLIC1	400
C163_484745ebaa	31	7	18	0	13	0	C2	400
C164_51eac9ee24	31	8	24	0	7	0	PSMB8	400
C165_6596595550	31	1	31	0	0	0	TMEM176B	400
C166_d39e7ffdd2	31	1	0	0	31	0	PPP1R3B-DT	400
C167_7d19b4675c	31	1	31	0	0	0	HMBOX1	400
C168_cb516851b9	31	1	31	0	0	0	TRAF2	400
C169_a0f6901074	31	1	31	0	0	0	HNRNPC	400
C170_f7395ddac7	31	1	29	0	2	0	KTN1	400
C171_2eaa28917e	31	1	31	0	0	0	MAN2C1	400
C172_6d87e167d5	31	1	18	0	13	0	UBE2I	400
C173_9078b4ab96	31	1	11	0	20	0	COQ8B	400
C174_5405a454ad	31	31	0	0	31	0	RNU6-222P;U6	400
C175_e500015ea0	31	1	28	0	3	0	SFI1	400
C176_8e84d7bce1	31	1	0	0	31	0	ENSG00000306402	400
C177_8a59592239	30	1	19	0	11	0	XPO1	400
C178_3b9909af3d	30	1	28	0	2	0	PCBP4	400
C179_5cfe819358	30	1	30	0	0	0	SORBS2	400
C180_7de968ff7c	30	30	30	0	0	0	PCDHA1;PCDHA10;PCDHA11;PCDHA12;PCDHA13;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;PCDHAC1;PCDHAC2	400
C181_bd2b6ad693	30	5	25	0	5	0	TRIM26	400
C182_6155e821fa	30	10	10	0	20	0	ENSG00000285089;ENSG00000285192;ENSG00000285213;ENSG00000285515;ENSG00000288473;VARS2	400
C183_94ac796e24	30	5	10	0	20	0	LY6G5C	400
C184_1441cf4664	30	7	30	0	0	0	PPT2	400
C185_33f6760b87	30	1	0	0	30	0	ENSG00000304176	400
C186_1b6d7c3c64	30	1	30	0	0	0	GSN	400
C187_db732165f7	30	1	30	0	0	0	XRCC3	400
C188_f7eb0e8721	30	1	30	0	0	0	RAB34	400
C189_eef66004d9	29	1	29	0	0	0	LRRFIP1	400
C190_68ba5c4708	29	1	29	0	0	0	MAP4	400
C191_3f0d765fd1	29	1	2	0	27	0	SKIC3	400
C192_8c54318bf3	29	1	0	0	29	0	ENSG00000283235	400
C193_9195f2a6d4	29	7	15	0	14	0	LTA	400
C194_623b8dd730	29	4	24	0	5	0	BAG6	400
C195_126a9d7e60	29	8	7	0	22	0	NEU1	400
C196_9cd42409ef	29	7	21	0	8	0	GPSM3	400
C197_97ac401b0d	29	3	0	0	29	0	ENSG00000310533;ENSG00000310536;ENSG00000310537	400
C198_c42e0bd9d7	29	1	13	0	16	0	KRIT1	400
C199_ee5bba4e87	29	1	29	0	0	0	CTSB	400
C200_557fa1f5bb	29	1	29	0	0	0	ZNF239	400
C201_7026996b66	29	1	29	0	0	0	A1CF	400
C202_16a292589f	29	1	28	0	1	0	TSPAN4	400
C203_5db46bf555	29	1	29	0	0	0	FAM111A	400
C204_348dfdb2f7	29	1	28	0	1	0	MEN1	400
C205_6baeb9c4ea	29	1	0	0	29	0	LINC00943	400
C206_9531a9c72d	29	2	15	0	14	0	IRF9	400
C207_e1ebd4baaf	29	1	5	0	24	0	MARK3	400
C208_b3d41315b5	29	1	28	0	1	0	CERS4	400
C209_daaf5432c5	29	29	0	29	0	0	ENSG00000228790;ENSG00000273918;ENSG00000274009;ENSG00000274082;ENSG00000274130;ENSG00000274517;ENSG00000276306;ENSG00000276324;ENSG00000276808;ENSG00000276974;ENSG00000276994;ENSG00000277456;ENSG00000277940;ENSG00000278360;ENSG00000278432;ENSG00000283748;ENSG00000283810;ENSG00000283833;ENSG00000283872;ENSG00000283916	400
C210_3cf99ef0a4	29	29	0	29	0	0	LILRP2	400
C211_f0854a6e6f	29	1	29	0	0	0	MORF4L2	400
C212_079d7884ed	28	1	28	0	0	0	SEPTIN2	400
C213_58b11ffae8	28	1	26	0	2	0	IL17RC	400
C214_aa7b736090	28	1	28	0	0	0	LRRFIP2	400
C215_0132744794	28	1	28	0	0	0	DAG1	400
C216_b4da76491b	28	1	0	0	28	0	SDHAP3	400
C217_d5a5bbf8e6	28	7	0	0	28	0	POLR1HASP	400
C218_2addb03e43	28	7	28	0	0	0	ATAT1	400
C219_21b1f77f4f	28	6	23	0	5	0	BRD2	400
C220_b31794ff25	28	1	0	0	28	0	ENSG00000290549	400
C221_9deadff239	28	1	28	0	0	0	ZMYND11	400
C222_0bb4348f77	28	1	28	0	0	0	USP54	400
C223_828e54fc78	28	2	28	0	0	0	RNH1	400
C224_5e4e99e563	28	1	28	0	0	0	CTNND1	400
C225_38c7c6833b	28	2	28	0	0	0	CACNA1C	400
C226_c4649fe52a	28	2	28	0	0	0	GMPR2	400
C227_1ed7e6e701	28	1	28	0	0	0	AKT1	400
C228_290f49fa20	28	1	0	0	28	0	COX10-DT	400
C229_5c73239b95	28	1	13	0	15	0	TBCD	400
C230_9bf1b710f6	28	28	0	0	28	0	LILRP2	400
C231_c1fe28fd03	28	28	0	28	0	0	ENSG00000275422;ENSG00000278345;KIR3DP1	400
C232_71e13a4c5e	28	1	0	0	28	0	MIR663AHG	400
C233_4b7a4c6567	28	1	18	0	10	0	PDE9A	400
C234_02ac701512	28	2	0	0	28	0	CD99P1	400
C235_2328f1285b	27	1	27	0	0	0	CAP1	400
C236_3afd566607	27	1	27	0	0	0	HPCAL1	400
C237_bbc892b965	27	1	27	0	0	0	PROC	400
C238_fd41997508	27	3	0	0	27	0	ENSG00000295602;ENSG00000297805;ENSG00000300022	400
C239_36813de7fa	27	7	27	0	0	0	TUBB	400
C240_3c6d0a1dc8	27	6	21	0	6	0	CFB	400
C241_b015af6121	27	5	9	0	18	0	RGL2	400
C242_44b7f64c13	27	1	27	0	0	0	TBRG4	400
C243_e0db4761f2	27	1	2	0	25	0	TAF2	400
C244_6654880a07	27	1	26	0	1	0	CYRIB	400
C245_a010e32f91	27	1	0	0	27	0	ENSG00000290549	400
C246_43f14d1565	27	1	0	0	27	0	ENSG00000304304	400
C247_d68d441d29	27	1	0	0	27	0	LINC02395	400
C248_54c15c445c	27	1	27	0	0	0	ARL6IP4	400
C249_1671a21d97	27	1	11	0	16	0	PSEN1	400
C250_b42e49df6e	27	1	0	0	27	0	MEG3	400
C251_77e4760c9d	27	2	27	0	0	0	APBA2	400
C252_1911a1a6e6	27	1	0	0	27	0	RRN3P2	400
C253_f1781a446f	27	1	25	0	2	0	STARD3	400
C254_8a8106281d	27	1	27	0	0	0	HDAC5	400
C255_e51e96c58c	27	27	4	2	21	1	ENSG00000215765;ENSG00000274971;ENSG00000277691;ENSG00000278277;ENSG00000278833;ENSG00000283778;ENSG00000283901;ENSG00000283910;ENSG00000283962;ENSG00000284136;ENSG00000284304;ENSG00000284318;ENSG00000284322;ENSG00000284423;ENSG00000284441;ENSG00000290403;ENSG00000290428;ENSG00000290451;ENSG00000290465;ENSG00000290470	400
C256_3b65deb554	27	2	23	0	4	0	USP16	400
C257_b7e8444c98	27	1	27	0	0	0	GGT1	400
C258_b1ed7dd1a5	27	3	9	0	18	0	MUC4	400
C259_f96b562bf0	26	1	25	0	1	0	NFYC	400
C260_990e025de9	26	1	23	0	3	0	ADAM15	400
C261_8824d60592	26	1	26	0	0	0	C4BPA	400
C262_9132522ed3	26	1	9	0	17	0	KIF5C	400
C263_f07d0a301c	26	1	17	0	9	0	HSPD1	400
C264_21d199c542	26	3	8	0	18	0	MUC4	400
C265_b973865cbc	26	1	26	0	0	0	LIMCH1	400
C266_63287fc3d1	26	1	0	0	26	0	PURPL	400
C267_0f1c7bd1fd	26	2	26	0	0	0	RAD17	400
C268_04b2f66c96	26	7	12	0	14	0	MRPS18B	400
C269_f58cd17491	26	7	12	0	14	0	ATAT1	400
C270_056a12ebc9	26	7	19	0	7	0	C6orf136	400
C271_196837281b	26	6	11	0	15	0	SLC39A7	400
C272_75f165879b	26	2	4	0	22	0	ENSG00000271793;SNX14	400
C273_eb6000667a	26	1	26	0	0	0	ELN	400
C274_4e29f0f732	26	1	0	0	26	0	LINC03026	400
C275_219428caca	26	1	26	0	0	0	GSN	400
C276_c00329e066	26	1	26	0	0	0	ST3GAL4	400
C277_8744d43922	26	1	26	0	0	0	CCDC92	400
C278_70aef2e2b5	26	2	0	0	26	0	DUXAP8;DUXAP9	400
C279_0aabc941e8	26	1	26	0	0	0	SIPA1L1	400
C280_9fb6224b09	26	1	24	0	2	0	AKT1	400
C281_ecc44ed05b	26	1	26	0	0	0	DUS2	400
C282_567a2a0c5c	26	2	26	0	0	0	SHMT1	400
C283_56c327567c	26	5	0	0	26	0	ENSG00000275496;ENSG00000277067;ENSG00000277991;LINC03104;LINC03105	400
C284_d48b31c3a5	26	1	0	0	26	0	LINC01664	400
C285_44cfab2a5c	26	2	26	0	0	0	CD99	400
C286_cb72252820	26	1	8	0	18	0	HDAC6	400
C287_4f6e853daf	25	1	24	0	1	0	RAP1GAP	400
C288_3ac4c393a4	25	1	25	0	0	0	PUM1	400
C289_bcb154ba9b	25	1	25	0	0	0	ZBTB7B	400
C290_8e963d2e79	25	1	25	0	0	0	GULP1	400
C291_1472b6d021	25	1	25	0	0	0	HDLBP	400
C292_cd4517e5f5	25	1	0	0	25	0	OSMR-DT	400
C293_9b7fb21ba8	25	1	25	0	0	0	CNOT8	400
C294_456df2bf15	25	1	0	0	25	0	ENSG00000289731	400
C295_bc7573cb14	25	1	15	0	10	0	CANX	400
C296_08dd35aa51	25	6	21	0	4	0	TRIM27	400
C297_6a03ffcaac	25	5	7	0	18	0	ABHD16A	400
C298_a3ba98d839	25	5	6	0	19	0	CYP21A2	400
C299_f51a963791	25	2	10	0	15	0	ENSG00000271793;SNX14	400
C300_bcf9fbac55	25	1	24	0	1	0	COA1	400
C301_588377bb8d	25	3	0	0	25	0	ENSG00000310533;ENSG00000310536;ENSG00000310537	400
C302_0331f09e73	25	1	0	0	25	0	ZNF503-AS1	400
C303_2fdc66e8fe	25	1	25	0	0	0	SHLD2	400
C304_dafc438166	25	1	24	0	1	0	POLL	400
C305_69e5d09869	25	2	23	0	2	0	RNH1	400
C306_b5472855fe	25	1	25	0	0	0	TOP6BL	400
C307_2af6f7973d	25	1	0	0	25	0	ENSG00000304309	400
C308_3efde61675	25	1	23	0	2	0	PKM	400
C309_f7a79d1081	25	2	23	0	2	0	CBS;ENSG00000274276	400
C310_4e6b07fa15	25	1	25	0	0	0	MX1	400
C311_023b6ac771	24	1	0	0	24	0	WASH7P	400
C312_64bf185358	24	1	0	0	24	0	FOXD3-AS1	400
C313_2992d0e0cc	24	1	24	0	0	0	B4GALT3	400
C314_813dc28e28	24	1	24	0	0	0	LRIG1	400
C315_831e08c60e	24	2	0	1	23	0	ALG1L1P;ENSG00000291096	400
C316_2a092f5606	24	4	0	0	24	0	MUC20-OT1	400
C317_d11bb1064c	24	1	23	0	1	0	SERPINB6	400
C318_b1678f803a	24	8	24	0	0	0	OR11A1	400
C319_e7ec841815	24	8	24	0	0	0	OR2H1	400
C320_ef603e44a0	24	8	8	0	16	0	NCR3	400
C321_066bb50f6c	24	7	10	0	14	0	NOTCH4	400
C322_c4e2b4b904	24	1	24	0	0	0	TFEB	400
C323_0557b7b714	24	3	0	0	24	0	ENSG00000304176;ENSG00000310534;ENSG00000310535	400
C324_a08eb1897b	24	2	22	0	2	0	CTSB	400
C325_168c0da2de	24	1	24	0	0	0	PPP1R16A	400
C326_6ddff58dde	24	1	24	0	0	0	GSN	400
C327_aaa9c4772e	24	1	24	0	0	0	EGFL7	400
C328_928c6758b5	24	1	22	0	2	0	MMS19	400
C329_e2a6a5f086	24	1	21	0	3	0	PHLDB1	400
C330_24f6ee592a	24	1	0	0	24	0	MIR100HG	400
C331_87cf41918f	24	1	0	0	24	0	HISLA	400
C332_f11f63b535	24	2	24	0	0	0	EIF5A	400
C333_1947ba757e	24	1	0	0	24	0	SNHG29	400
C334_486b63beb7	24	1	24	0	0	0	TRIM37	400
C335_9d4a330b29	24	1	24	0	0	0	LPAR2	400
C336_8193432da4	24	1	24	0	0	0	MAGED1	400
C337_ecc664f8a8	24	4	24	0	0	0	ENSG00000283719;ENSG00000284111;ENSG00000284301;KIR3DS1	400
C338_3a5ec0b225	23	1	0	0	23	0	WASH7P	400
C339_88ac2732e6	23	1	23	0	0	0	EPB41	400
C340_8f0c48c4c2	23	1	23	0	0	0	PUM1	400
C341_82a9ee683e	23	1	21	0	2	0	CCDC24	400
C342_e244f72160	23	1	23	0	0	0	MRPL55	400
C343_377b59ebe9	23	1	12	0	11	0	ACSL3	400
C344_3c33e416eb	23	1	23	0	0	0	ZNF148	400
C345_44a79f95c9	23	1	23	0	0	0	LIMCH1	400
C346_83a327e5ec	23	1	23	0	0	0	ARFIP1	400
C347_14028a4f19	23	1	23	0	0	0	GUCY1A1	400
C348_b4f16a07ae	23	2	0	0	23	0	ENSG00000295602;ENSG00000300022	400
C349_7d10ad55d1	23	8	0	0	23	0	ENSG00000290325;ENSG00000290351;ENSG00000290358;ENSG00000290362;ENSG00000290442;ENSG00000290452;ENSG00000290574;ENSG00000290582	400
C350_a06828d94f	23	6	23	0	0	0	POLR1H	400
C351_858ee23b7f	23	7	23	0	0	0	C2	400
C352_cec4a73e73	23	1	0	0	23	0	ENSG00000271860	400
C353_59011cbeed	23	1	23	0	0	0	SUN1	400
C354_b34b70082b	23	1	0	0	23	0	ENSG00000304176	400
C355_6fe124ae8a	23	1	0	0	23	0	ENSG00000291178	400
C356_29bc592bae	23	1	23	0	0	0	SLC12A9	400
C357_7c77c98266	23	1	5	0	18	0	LAMB1	400
C358_e2b59d65b3	23	1	0	0	23	0	LINC-PINT	400
C359_17dfbd4ad9	23	2	0	1	22	0	ASNSP1;ENSG00000290398	400
C360_abb041865d	23	2	22	0	1	0	EEF1D	400
C361_14be783cea	23	1	22	0	1	0	KANK1	400
C362_5534f69622	23	2	0	0	23	0	ENSG00000290549;ENSG00000295894	400
C363_1c3e7b40c1	23	1	22	0	1	0	DKK3	400
C364_af60449a24	23	1	0	0	23	0	LNCRNA-IUR	400
C365_dced4d2aca	23	1	23	0	0	0	ITGA7	400
C366_e3c097996f	23	1	23	0	0	0	OS9	400
C367_9ba46429bb	23	1	22	0	1	0	CHFR	400
C368_563ed30cc7	23	1	22	0	1	0	NDRG2	400
C369_61542156fc	23	1	22	0	1	0	KTN1	400
C370_a7123217ec	23	1	23	0	0	0	FAM234A	400
C371_d1dfa3f08c	23	1	23	0	0	0	BANP	400
C372_529911185e	23	1	17	0	6	0	CACNA1G	400
C373_cce7574e60	23	1	23	0	0	0	SLC16A5	400
C374_e4e6fdf606	23	1	23	0	0	0	TMC6	400
C375_67d7dbab3b	23	1	0	0	23	0	SNHG11	400
C376_e23d4c30ed	23	5	0	0	23	0	ENSG00000275496;ENSG00000277067;ENSG00000280164;LINC03104;LINC03105	400
C377_e414316ca9	23	1	23	0	0	0	RANGAP1	400
C378_0a12598f46	22	1	22	0	0	0	NBPF15	400
C379_9654f5729b	22	1	22	0	0	0	GPR161	400
C380_ac3ba6c799	22	1	0	0	22	0	ENSG00000310523	400
C381_9fc69318e2	22	1	22	0	0	0	FAM168B	400
C382_97fa727795	22	1	21	0	1	0	IMPDH2	400
C383_c11f240ec1	22	1	0	0	22	0	LINC00635	400
C384_db4d6355c6	22	1	22	0	0	0	ST6GAL1	400
C385_9484d82dce	22	1	6	0	16	0	TFRC	400
C386_24e0f35304	22	22	22	0	0	0	PCDHGA1;PCDHGA10;PCDHGA11;PCDHGA12;PCDHGA2;PCDHGA3;PCDHGA4;PCDHGA5;PCDHGA6;PCDHGA7;PCDHGA8;PCDHGA9;PCDHGB1;PCDHGB2;PCDHGB3;PCDHGB4;PCDHGB5;PCDHGB6;PCDHGB7;PCDHGC3	400
C387_cfe57a98d8	22	8	8	0	14	0	LTB	400
C388_fc6edca664	22	6	22	0	0	0	LST1	400
C389_ff4d1daf85	22	10	9	0	13	0	MSH5-SAPCD1;SAPCD1	400
C390_33e5da9cfb	22	8	12	0	10	0	TAP1	400
C391_c0e864bdec	22	1	22	0	0	0	TJAP1	400
C392_32513fac06	22	1	22	0	0	0	SLC29A1	400
C393_e4ce60b4a3	22	1	22	0	0	0	HSP90AB1	400
C394_469bc0064d	22	1	22	0	0	0	ELN	400
C395_5d24613b59	22	1	22	0	0	0	ZNF618	400
C396_0ebd0dea4b	22	1	22	0	0	0	PACSIN3	400
C397_97240cc3bc	22	1	9	0	13	0	CEP290	400
C398_64bb54e379	22	1	22	0	0	0	USP44	400
C399_f0b8bf852a	22	1	21	0	1	0	PCCA	400
C400_afe98a499d	22	1	0	0	22	0	LINC00343	400
C401_a031c9afee	22	2	22	0	0	0	UBL7	400
C402_e519b1be51	22	1	22	0	0	0	ZFAND6	400
C403_ebc5f5d77a	22	1	22	0	0	0	ASGR2	400
